symbol,display_symbol,security,sector,sub_industry
5E2.SI,5E2,Seatrium Limited,Industrials,Ship Building & Repairing
9CI.SI,9CI,CapitaLand Investment,Real Estate,Diversified Real Estate Activities
A17U.SI,A17U,CapitaLand Ascendas REIT,Real Estate,Industrial REITs
AJBU.SI,AJBU,Keppel DC Reit,,
BN4.SI,BN4,Keppel Corporation,Industrials,Industrial Conglomerates
BS6.SI,BS6,Yangzijiang Shipbuilding Holdings [zh],Industrials,Ship Building & Repairing
BUOU.SI,BUOU,Frasers Logistics & Commercial Trust,Real Estate,Industrial REITs
C09.SI,C09,City Developments Limited,Real Estate,Homebuilding
C38U.SI,C38U,CapitaLand Integrated Commercial Trust,Real Estate,Retail REITs
C6L.SI,C6L,Singapore Airlines,Industrials,Airlines
D01.SI,D01,DFI Retail Group Holdings Limited,,
D05.SI,D05,DBS Group Holdings,Financials,Banks
F34.SI,F34,Wilmar International,Consumer Staples,Agricultural Products & Services
G13.SI,G13,Genting Singapore PLC,Consumer Discretionary,Casinos & Gaming
H78.SI,H78,Hongkong Land Holdings,Real Estate,Diversified Real Estate Activities
J36.SI,J36,Jardine Matheson Holdings Limited,Industrials,Industrial Conglomerates
J69U.SI,J69U,Frasers Centrepoint Trust,,
M44U.SI,M44U,Mapletree Logistics Trust,Real Estate,Industrial REITs
ME8U.SI,ME8U,Mapletree Industrial Trust,Real Estate,Industrial REITs
N2IU.SI,N2IU,Mapletree Pan Asia Commercial Trust,Real Estate,Diversified REITs
O39.SI,O39,OCBC Bank,Financials,Banks
S58.SI,S58,SATS,Industrials,Airport Services
S63.SI,S63,Singapore Technologies Engineering,Industrials,Aerospace & Defense
S68.SI,S68,Singapore Exchange,Financials,Financial Exchanges & Data
U11.SI,U11,United Overseas Bank,Financials,Banks
U14.SI,U14,UOL Group,Real Estate,Hotels & Motels
U96.SI,U96,Sembcorp Industries,Utilities,Electric Utilities
V03.SI,V03,Venture Corporation,Information Technology,Electronic Manufacturing Services
Y92.SI,Y92,Thai Beverages,Consumer Staples,Beverages
Z74.SI,Z74,Singtel,Communication Services,Telecommunications
